merchandise_name,user_username,rating,body,created_at
Garuda Store - Jersey Training - Red Black,eka,3,"Beli untuk kado, penerima suka banget.",2025-03-01
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,nina,5,"Keren, tampil percaya diri pakai ini.",2025-02-28
Garuda - Tumbler Kita Garuda,indra,5,Material tebal tapi tetap adem.,2025-01-20
Garuda Store - Crewneck plus 62 Football,indra,4,"Keren, tampil percaya diri pakai ini.",2025-03-10
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,reza,5,Material tebal tapi tetap adem.,2025-03-22
Garuda - Socks Pattern | Kaos Kaki,nisa,4,Jahitannya rapi dan bahan premium.,2025-01-29
Garuda - Signed Ball | Bola Kaki Sepak Bola,nina,5,Material tebal tapi tetap adem.,2025-04-03
Garuda - Action Figure Timnas Indonesia - Full Body,joko,5,"Packing rapi, aman sampai tujuan.",2025-03-29
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,fahri,4,"Barang limited edition, gak nyesel beli.",2025-02-19
Garuda - Collar Polo | Baju Atasan Unisex,anna,4,"Barang limited edition, gak nyesel beli.",2025-04-25
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,agus,4,"Cocok dipakai harian, nyaman banget.",2025-01-26
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,rahma,3,"Kualitas oke, pengiriman cepat.",2025-05-09
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,sari,5,Kualitas lebih bagus dari ekspektasi.,2025-02-24
Garuda - Tumbler Kita Garuda,rudi,5,"Kualitas oke, pengiriman cepat.",2025-01-11
Garuda - Polo Heart of Football | Baju Atasan Pria,toni,5,Material tebal tapi tetap adem.,2025-04-16
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,rahma,5,Detail produk sesuai gambar.,2025-05-22
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,maya,4,"Desainnya keren, suka banget!",2025-01-26
Garuda Store - Jersey Training - Red Black,rudi,3,"Barang sesuai foto, puas banget.",2025-03-12
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,adit,4,Keren banget buat nonton di stadion.,2025-03-17
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,toni,5,Material tebal tapi tetap adem.,2025-02-02
Garuda - Tumbler Kita Garuda,bayu,4,Kualitas lebih bagus dari ekspektasi.,2025-03-06
Garuda - Polo Stripe | Baju Atasan Pria,maya,4,"Cocok dipakai harian, nyaman banget.",2025-05-24
Garuda - Collar Polo | Baju Atasan Unisex,toni,5,"Barang sesuai foto, puas banget.",2025-02-18
Garuda Store - Jersey Training - Red Black,tio,3,"Barang sesuai foto, puas banget.",2025-05-19
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,citra,5,"Barang sesuai foto, puas banget.",2025-03-09
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,reza,3,Rekomendasi buat yang suka koleksi Garuda.,2025-03-11
Garuda - Collar Polo | Baju Atasan Unisex,lia,3,Kualitas lebih bagus dari ekspektasi.,2025-04-29
Garuda - Action Figure Timnas Indonesia - Full Body,melisa,5,Rekomendasi buat yang suka koleksi Garuda.,2025-04-13
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,sinta,4,Worth it banget buat harga segini.,2025-03-22
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,indra,5,"Kualitas oke, pengiriman cepat.",2025-01-24
Garuda Store - Crewneck plus 62 Football,tio,4,Kualitas lebih bagus dari ekspektasi.,2025-03-25
Garuda - Polo Stripe | Baju Atasan Pria,budi,5,Bahan adem dan nyaman dipakai.,2025-04-06
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,rudi,4,"Kualitas oke, pengiriman cepat.",2025-02-26
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,riko,4,"Ukuran pas, bahannya lembut.",2025-04-19
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,citra,5,"Beli untuk kado, penerima suka banget.",2025-05-07
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,indra,4,Pelayanan toko cepat dan ramah.,2025-04-27
Garuda - Socks Pattern | Kaos Kaki,yuni,3,"Produk sangat bagus, sesuai deskripsi!",2025-01-03
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,bayu,5,"Barang original, mantap kualitasnya.",2025-04-21
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,fitri,4,Worth it banget buat harga segini.,2025-02-17
Garuda - Action Figure Timnas Indonesia - Full Body,arif,3,Bahan adem dan nyaman dipakai.,2025-04-15
Garuda - Polo Stripe | Baju Atasan Pria,toni,5,Detail produk sesuai gambar.,2025-02-01
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,riko,5,"Kualitas oke, pengiriman cepat.",2025-01-09
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,reza,3,Detail produk sesuai gambar.,2025-01-05
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,maya,5,"Packing rapi, aman sampai tujuan.",2025-04-25
Garuda - Polo Heart of Football | Baju Atasan Pria,arif,5,Bahan adem dan nyaman dipakai.,2025-03-07
Garuda - Collar Polo | Baju Atasan Unisex,nisa,3,"Produk sangat bagus, sesuai deskripsi!",2025-02-23
Garuda - Action Figure Timnas Indonesia - Full Body,maya,3,"Kualitas oke, pengiriman cepat.",2025-01-03
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,adit,3,"Cocok dipakai harian, nyaman banget.",2025-04-12
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,arya,3,Kualitas lebih bagus dari ekspektasi.,2025-04-21
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,reza,4,"Cocok dipakai harian, nyaman banget.",2025-03-13
Garuda - Socks Pattern | Kaos Kaki,fitri,4,"Cocok dipakai harian, nyaman banget.",2025-05-09
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,sari,5,Detail produk sesuai gambar.,2025-05-01
Garuda - Tumbler Kita Garuda,reza,4,Worth it banget buat harga segini.,2025-03-05
Garuda - Socks Pattern | Kaos Kaki,melisa,4,Worth it banget buat harga segini.,2025-05-05
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,sari,5,"Barang sesuai foto, puas banget.",2025-04-14
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,riko,3,"Desainnya keren, suka banget!",2025-02-21
Garuda Store - Crewneck plus 62 Football,nina,3,Kualitas lebih bagus dari ekspektasi.,2025-04-08
Garuda - Polo Stripe | Baju Atasan Pria,andi,3,Material tebal tapi tetap adem.,2025-03-02
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,sinta,3,Bahan adem dan nyaman dipakai.,2025-02-10
Garuda - Signed Ball | Bola Kaki Sepak Bola,dwi,5,"Ukuran pas, bahannya lembut.",2025-05-23
Garuda - Collar Polo | Baju Atasan Unisex,maya,3,Jahitannya rapi dan bahan premium.,2025-05-27
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,bambang,5,Jahitannya rapi dan bahan premium.,2025-04-25
Garuda Store - Jersey Training - Red Black,sari,5,Worth it banget buat harga segini.,2025-01-08
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,rani,5,Worth it banget buat harga segini.,2025-05-03
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,alvin,4,Jahitannya rapi dan bahan premium.,2025-03-23
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,reza,4,"Barang limited edition, gak nyesel beli.",2025-04-28
Garuda Store - Crewneck plus 62 Football,lia,5,"Barang original, mantap kualitasnya.",2025-04-25
Garuda - Signed Ball | Bola Kaki Sepak Bola,joko,4,"Kualitas oke, pengiriman cepat.",2025-04-23
Garuda - Polo Stripe | Baju Atasan Pria,putra,4,Pelayanan toko cepat dan ramah.,2025-05-13
Garuda - Socks Pattern | Kaos Kaki,fitri,3,"Keren, tampil percaya diri pakai ini.",2025-04-23
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,deni,4,Keren banget buat nonton di stadion.,2025-02-04
Garuda - Socks Pattern | Kaos Kaki,sari,5,"Kualitas oke, pengiriman cepat.",2025-05-06
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,melisa,4,Bahan adem dan nyaman dipakai.,2025-01-20
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,vivi,3,"Produk sangat bagus, sesuai deskripsi!",2025-05-16
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,arif,3,Worth it banget buat harga segini.,2025-01-13
Garuda - Polo Stripe | Baju Atasan Pria,fitri,5,"Beli untuk kado, penerima suka banget.",2025-04-27
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,putra,3,Pelayanan toko cepat dan ramah.,2025-03-26
Garuda - Collar Polo | Baju Atasan Unisex,arya,4,"Kualitas oke, pengiriman cepat.",2025-02-06
Garuda Store - Crewneck plus 62 Football,riko,3,"Desainnya keren, suka banget!",2025-01-19
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,agus,5,Bahan adem dan nyaman dipakai.,2025-02-07
Garuda - Collar Polo | Baju Atasan Unisex,lina,5,"Kualitas oke, pengiriman cepat.",2025-01-03
Garuda - Tumbler Kita Garuda,melisa,3,"Cocok dipakai harian, nyaman banget.",2025-02-22
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,rico,5,Detail produk sesuai gambar.,2025-01-24
Garuda - Tumbler Kita Garuda,yuni,4,"Keren, tampil percaya diri pakai ini.",2025-01-01
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,nisa,4,Rekomendasi buat yang suka koleksi Garuda.,2025-04-26
Garuda Store - Jersey Training - Red Black,reza,5,"Produk sangat bagus, sesuai deskripsi!",2025-03-11
Garuda - Signed Ball | Bola Kaki Sepak Bola,bayu,3,"Barang limited edition, gak nyesel beli.",2025-05-19
Garuda Store - Jersey Training - Red Black,fahri,5,Pelayanan toko cepat dan ramah.,2025-05-03
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,budi,5,Bahan adem dan nyaman dipakai.,2025-03-17
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,riko,3,Worth it banget buat harga segini.,2025-03-31
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,bambang,4,Keren banget buat nonton di stadion.,2025-05-09
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,dwi,3,Material tebal tapi tetap adem.,2025-05-23
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,tio,5,Pelayanan toko cepat dan ramah.,2025-04-20
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,alya,3,"Kualitas oke, pengiriman cepat.",2025-02-28
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,bayu,5,Keren banget buat nonton di stadion.,2025-03-21
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,tio,3,"Desainnya keren, suka banget!",2025-03-25
Garuda Store - Jersey Training - Red Black,arif,5,Rekomendasi buat yang suka koleksi Garuda.,2025-03-25
Garuda - Polo Stripe | Baju Atasan Pria,alya,4,"Desainnya keren, suka banget!",2025-04-14
Garuda - Tumbler Kita Garuda,andi,3,"Barang limited edition, gak nyesel beli.",2025-05-21
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,putra,3,Worth it banget buat harga segini.,2025-05-15
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,rahma,5,Jahitannya rapi dan bahan premium.,2025-03-11
Garuda - Polo Heart of Football | Baju Atasan Pria,sari,4,Pelayanan toko cepat dan ramah.,2025-02-02
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,toni,4,"Barang sesuai foto, puas banget.",2025-01-30
Garuda - Socks Pattern | Kaos Kaki,andi,3,"Keren, tampil percaya diri pakai ini.",2025-02-01
Garuda - Tumbler Kita Garuda,nisa,5,"Ukuran pas, bahannya lembut.",2025-01-26
Garuda - Collar Polo | Baju Atasan Unisex,lia,5,Bahan adem dan nyaman dipakai.,2025-04-28
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,vivi,5,Bahan adem dan nyaman dipakai.,2025-05-13
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,fajar,3,Bahan adem dan nyaman dipakai.,2025-03-22
Garuda - Polo Heart of Football | Baju Atasan Pria,alvin,5,"Kualitas oke, pengiriman cepat.",2025-04-30
Garuda - Action Figure Timnas Indonesia - Full Body,tio,3,"Produk sangat bagus, sesuai deskripsi!",2025-01-13
Garuda - Action Figure Timnas Indonesia - Full Body,rani,3,"Barang sesuai foto, puas banget.",2025-01-11
Garuda - Action Figure Timnas Indonesia - Full Body,indra,4,Rekomendasi buat yang suka koleksi Garuda.,2025-05-05
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,deni,5,Jahitannya rapi dan bahan premium.,2025-03-26
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,rani,4,Keren banget buat nonton di stadion.,2025-04-06
Garuda Store - Jersey Training - Red Black,rahma,3,Kualitas lebih bagus dari ekspektasi.,2025-03-27
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,fitri,5,"Cocok dipakai harian, nyaman banget.",2025-05-19
Garuda - Signed Ball | Bola Kaki Sepak Bola,joko,3,"Produk sangat bagus, sesuai deskripsi!",2025-01-07
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,bambang,5,Kualitas lebih bagus dari ekspektasi.,2025-05-03
Garuda Store - Jersey Training - Red Black,citra,5,"Desainnya keren, suka banget!",2025-05-19
Garuda - Action Figure Timnas Indonesia - Full Body,fahri,5,Bahan adem dan nyaman dipakai.,2025-05-21
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,toni,5,"Barang original, mantap kualitasnya.",2025-02-08
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,citra,4,"Beli untuk kado, penerima suka banget.",2025-03-29
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,joko,4,Keren banget buat nonton di stadion.,2025-05-29
Garuda - Polo Heart of Football | Baju Atasan Pria,sari,3,"Barang original, mantap kualitasnya.",2025-01-24
Garuda - Collar Polo | Baju Atasan Unisex,agus,5,"Produk sangat bagus, sesuai deskripsi!",2025-05-12
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,deni,5,Bahan adem dan nyaman dipakai.,2025-02-22
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,maya,5,Material tebal tapi tetap adem.,2025-03-16
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,nisa,5,Worth it banget buat harga segini.,2025-05-22
Garuda Store - Jersey Training - Red Black,nisa,5,"Keren, tampil percaya diri pakai ini.",2025-03-22
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,vivi,3,Jahitannya rapi dan bahan premium.,2025-01-20
Garuda - Polo Heart of Football | Baju Atasan Pria,vivi,3,"Packing rapi, aman sampai tujuan.",2025-01-21
Garuda - Polo Heart of Football | Baju Atasan Pria,melisa,5,Keren banget buat nonton di stadion.,2025-03-27
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,alvin,4,"Packing rapi, aman sampai tujuan.",2025-04-14
Garuda - Tumbler Kita Garuda,meta,5,Keren banget buat nonton di stadion.,2025-03-07
Garuda - Socks Pattern | Kaos Kaki,nisa,3,"Barang limited edition, gak nyesel beli.",2025-03-12
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,meta,3,"Barang sesuai foto, puas banget.",2025-02-12
Garuda Store - Crewneck plus 62 Football,nisa,3,"Packing rapi, aman sampai tujuan.",2025-03-26
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,indra,3,Bahan adem dan nyaman dipakai.,2025-02-25
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,deni,3,"Barang limited edition, gak nyesel beli.",2025-02-09
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,yuni,3,"Barang sesuai foto, puas banget.",2025-04-27
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,indra,4,Kualitas lebih bagus dari ekspektasi.,2025-05-31
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,nina,3,Pelayanan toko cepat dan ramah.,2025-01-17
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,riko,4,"Produk sangat bagus, sesuai deskripsi!",2025-04-19
Garuda - Action Figure Timnas Indonesia - Full Body,arya,4,Keren banget buat nonton di stadion.,2025-02-26
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,rahma,4,Kualitas lebih bagus dari ekspektasi.,2025-04-16
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,eka,5,Kualitas lebih bagus dari ekspektasi.,2025-05-12
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,yuni,3,"Barang original, mantap kualitasnya.",2025-04-27
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,toni,5,Kualitas lebih bagus dari ekspektasi.,2025-01-28
Garuda - Polo Heart of Football | Baju Atasan Pria,rani,3,Jahitannya rapi dan bahan premium.,2025-05-18
