merchandise_name,user_username,rating,body,created_at
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,alvin,3,"Produk sangat bagus, sesuai deskripsi!",2025-04-01
Garuda - Socks Pattern | Kaos Kaki,reza,3,"Produk sangat bagus, sesuai deskripsi!",2025-04-01
Garuda - Polo Stripe | Baju Atasan Pria,yuni,3,"Beli untuk kado, penerima suka banget.",2025-04-20
Garuda - Polo Stripe | Baju Atasan Pria,joko,4,"Kualitas oke, pengiriman cepat.",2025-03-11
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,tio,4,Kualitas lebih bagus dari ekspektasi.,2025-05-31
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,meta,5,"Barang original, mantap kualitasnya.",2025-04-29
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,arif,3,"Desainnya keren, suka banget!",2025-05-31
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,tio,4,"Kualitas oke, pengiriman cepat.",2025-05-18
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,melisa,5,"Barang sesuai foto, puas banget.",2025-02-12
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,arya,4,Material tebal tapi tetap adem.,2025-05-11
Garuda - Polo Stripe | Baju Atasan Pria,andi,4,Bahan adem dan nyaman dipakai.,2025-03-23
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,arif,3,"Desainnya keren, suka banget!",2025-01-20
Garuda - Tumbler Kita Garuda,alya,5,Pelayanan toko cepat dan ramah.,2025-01-13
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,riko,5,Keren banget buat nonton di stadion.,2025-02-20
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,melisa,5,Pelayanan toko cepat dan ramah.,2025-04-08
Garuda Store - Crewneck plus 62 Football,melisa,5,Bahan adem dan nyaman dipakai.,2025-03-11
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,arya,5,Keren banget buat nonton di stadion.,2025-04-19
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,arif,4,Material tebal tapi tetap adem.,2025-02-25
Garuda - Signed Ball | Bola Kaki Sepak Bola,fajar,3,"Keren, tampil percaya diri pakai ini.",2025-05-07
Garuda - Polo Heart of Football | Baju Atasan Pria,eka,4,Detail produk sesuai gambar.,2025-03-17
Garuda Store - Jersey Training - Red Black,maya,5,"Produk sangat bagus, sesuai deskripsi!",2025-02-22
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,sari,3,"Packing rapi, aman sampai tujuan.",2025-05-20
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,rudi,5,"Ukuran pas, bahannya lembut.",2025-05-19
Garuda - Polo Heart of Football | Baju Atasan Pria,meta,5,"Packing rapi, aman sampai tujuan.",2025-03-29
Garuda - Action Figure Timnas Indonesia - Full Body,eka,3,Pelayanan toko cepat dan ramah.,2025-04-24
Garuda - Polo Stripe | Baju Atasan Pria,deni,5,"Desainnya keren, suka banget!",2025-03-29
Garuda - Polo Heart of Football | Baju Atasan Pria,nisa,3,Pelayanan toko cepat dan ramah.,2025-04-03
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,arya,3,Bahan adem dan nyaman dipakai.,2025-05-24
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,citra,5,"Beli untuk kado, penerima suka banget.",2025-02-01
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,andi,4,"Barang original, mantap kualitasnya.",2025-02-14
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,rico,3,Bahan adem dan nyaman dipakai.,2025-01-14
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,nina,4,"Keren, tampil percaya diri pakai ini.",2025-03-22
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,reza,4,"Kualitas oke, pengiriman cepat.",2025-02-15
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,agus,5,"Barang original, mantap kualitasnya.",2025-03-31
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,bayu,5,"Cocok dipakai harian, nyaman banget.",2025-03-11
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,rani,4,"Produk sangat bagus, sesuai deskripsi!",2025-04-15
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,deni,5,Keren banget buat nonton di stadion.,2025-02-11
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,maya,5,Pelayanan toko cepat dan ramah.,2025-03-20
Garuda - Action Figure Timnas Indonesia - Full Body,dwi,3,Jahitannya rapi dan bahan premium.,2025-04-11
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,lia,4,Rekomendasi buat yang suka koleksi Garuda.,2025-03-22
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,toni,4,Kualitas lebih bagus dari ekspektasi.,2025-02-23
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,indra,3,"Beli untuk kado, penerima suka banget.",2025-01-10
Garuda Store - Jersey Training - Red Black,dwi,5,"Barang sesuai foto, puas banget.",2025-01-23
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,melisa,4,Detail produk sesuai gambar.,2025-05-30
Garuda - Action Figure Timnas Indonesia - Full Body,lina,3,Jahitannya rapi dan bahan premium.,2025-04-19
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,lia,4,"Kualitas oke, pengiriman cepat.",2025-04-27
Garuda - Polo Stripe | Baju Atasan Pria,rahma,3,Detail produk sesuai gambar.,2025-03-20
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,maya,5,"Keren, tampil percaya diri pakai ini.",2025-04-01
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,rahma,5,"Keren, tampil percaya diri pakai ini.",2025-02-20
Garuda - Polo Stripe | Baju Atasan Pria,vivi,5,"Barang original, mantap kualitasnya.",2025-01-12
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,lia,4,Bahan adem dan nyaman dipakai.,2025-05-02
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,bambang,3,"Beli untuk kado, penerima suka banget.",2025-04-21
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,fitri,3,Worth it banget buat harga segini.,2025-03-04
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,anna,3,"Produk sangat bagus, sesuai deskripsi!",2025-02-24
Garuda - Signed Ball | Bola Kaki Sepak Bola,putra,3,"Packing rapi, aman sampai tujuan.",2025-03-24
Garuda - Tumbler Kita Garuda,alvin,3,Material tebal tapi tetap adem.,2025-03-04
Garuda - Collar Polo | Baju Atasan Unisex,reza,4,"Cocok dipakai harian, nyaman banget.",2025-04-15
Garuda - Collar Polo | Baju Atasan Unisex,lina,4,Jahitannya rapi dan bahan premium.,2025-03-19
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,agus,3,"Barang sesuai foto, puas banget.",2025-04-28
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,rico,4,"Ukuran pas, bahannya lembut.",2025-04-22
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,bambang,5,Material tebal tapi tetap adem.,2025-03-14
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,fahri,4,"Kualitas oke, pengiriman cepat.",2025-04-21
Garuda - Collar Polo | Baju Atasan Unisex,fahri,3,"Keren, tampil percaya diri pakai ini.",2025-01-16
Garuda - Action Figure Timnas Indonesia - Full Body,nina,3,"Ukuran pas, bahannya lembut.",2025-03-23
Garuda - Polo Stripe | Baju Atasan Pria,fahri,3,Worth it banget buat harga segini.,2025-04-18
Garuda - Socks Pattern | Kaos Kaki,anna,5,Detail produk sesuai gambar.,2025-03-17
Garuda - Tumbler Kita Garuda,rudi,3,"Ukuran pas, bahannya lembut.",2025-03-24
Garuda - Socks Pattern | Kaos Kaki,sinta,3,Pelayanan toko cepat dan ramah.,2025-02-15
Garuda - Signed Ball | Bola Kaki Sepak Bola,joko,5,Bahan adem dan nyaman dipakai.,2025-05-26
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,joko,4,"Ukuran pas, bahannya lembut.",2025-03-03
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,arya,3,Worth it banget buat harga segini.,2025-03-31
Garuda Store - Jersey Training - Red Black,arif,3,Keren banget buat nonton di stadion.,2025-04-20
Garuda - Socks Pattern | Kaos Kaki,tio,5,Jahitannya rapi dan bahan premium.,2025-02-14
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,yuni,5,Pelayanan toko cepat dan ramah.,2025-04-26
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,putra,4,Pelayanan toko cepat dan ramah.,2025-05-15
Garuda - Socks Pattern | Kaos Kaki,bayu,4,Keren banget buat nonton di stadion.,2025-04-07
Garuda - Action Figure Timnas Indonesia - Full Body,fajar,4,"Barang limited edition, gak nyesel beli.",2025-03-05
Garuda Store - Jersey Training - Red Black,fajar,3,"Barang sesuai foto, puas banget.",2025-02-08
Garuda - Socks Pattern | Kaos Kaki,melisa,3,Rekomendasi buat yang suka koleksi Garuda.,2025-02-25
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,andi,3,Material tebal tapi tetap adem.,2025-04-29
Garuda - Collar Polo | Baju Atasan Unisex,yuni,5,"Produk sangat bagus, sesuai deskripsi!",2025-05-08
Garuda - Polo Heart of Football | Baju Atasan Pria,tio,5,Jahitannya rapi dan bahan premium.,2025-04-05
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,toni,4,Keren banget buat nonton di stadion.,2025-02-01
Garuda - Polo Heart of Football | Baju Atasan Pria,riko,3,Material tebal tapi tetap adem.,2025-02-25
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,melisa,3,Material tebal tapi tetap adem.,2025-02-06
Garuda - Signed Ball | Bola Kaki Sepak Bola,deni,5,"Produk sangat bagus, sesuai deskripsi!",2025-05-24
Garuda - Socks Pattern | Kaos Kaki,arif,4,Bahan adem dan nyaman dipakai.,2025-05-29
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,fitri,4,"Keren, tampil percaya diri pakai ini.",2025-05-11
Garuda - Collar Polo | Baju Atasan Unisex,bayu,3,"Cocok dipakai harian, nyaman banget.",2025-04-19
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,anna,5,Material tebal tapi tetap adem.,2025-01-11
Garuda Store - Crewneck plus 62 Football,rahma,4,"Barang original, mantap kualitasnya.",2025-05-18
Garuda - Collar Polo | Baju Atasan Unisex,vivi,4,Bahan adem dan nyaman dipakai.,2025-03-31
Garuda - Tumbler Kita Garuda,reza,3,"Keren, tampil percaya diri pakai ini.",2025-02-24
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,riko,4,"Barang limited edition, gak nyesel beli.",2025-04-16
Garuda - Signed Ball | Bola Kaki Sepak Bola,arif,3,"Packing rapi, aman sampai tujuan.",2025-03-29
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,sinta,5,Keren banget buat nonton di stadion.,2025-05-21
Garuda - Signed Ball | Bola Kaki Sepak Bola,alya,5,Kualitas lebih bagus dari ekspektasi.,2025-03-18
Garuda - Polo Stripe | Baju Atasan Pria,melisa,4,"Desainnya keren, suka banget!",2025-02-11
Garuda - Socks Pattern | Kaos Kaki,vivi,4,Detail produk sesuai gambar.,2025-03-29
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,lina,5,"Barang limited edition, gak nyesel beli.",2025-03-05
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,rahma,4,Material tebal tapi tetap adem.,2025-02-23
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,anna,5,"Produk sangat bagus, sesuai deskripsi!",2025-03-14
Garuda - Polo Stripe | Baju Atasan Pria,andi,5,"Beli untuk kado, penerima suka banget.",2025-02-17
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,lia,4,"Barang original, mantap kualitasnya.",2025-03-18
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,rudi,5,"Ukuran pas, bahannya lembut.",2025-03-03
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,rico,5,"Cocok dipakai harian, nyaman banget.",2025-01-17
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,andi,3,Pelayanan toko cepat dan ramah.,2025-01-24
Garuda - Socks Pattern | Kaos Kaki,arya,3,Worth it banget buat harga segini.,2025-01-13
Garuda - Action Figure Timnas Indonesia - Full Body,fahri,5,Jahitannya rapi dan bahan premium.,2025-05-21
Garuda Store - Crewneck plus 62 Football,agus,5,"Keren, tampil percaya diri pakai ini.",2025-03-29
Garuda - Polo Stripe | Baju Atasan Pria,rani,5,"Ukuran pas, bahannya lembut.",2025-04-15
Garuda Store - Jersey Training - Red Black,meta,4,"Barang sesuai foto, puas banget.",2025-03-12
Garuda Store - Jersey Training - Red Black,maya,5,"Barang sesuai foto, puas banget.",2025-03-03
Garuda Store - Jersey Training - Red Black,sinta,5,Worth it banget buat harga segini.,2025-05-09
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,sinta,4,Kualitas lebih bagus dari ekspektasi.,2025-01-04
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,citra,3,"Barang limited edition, gak nyesel beli.",2025-02-04
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,vivi,3,"Barang limited edition, gak nyesel beli.",2025-03-22
Garuda - Socks Pattern | Kaos Kaki,andi,5,"Barang sesuai foto, puas banget.",2025-04-24
Garuda - Polo Heart of Football | Baju Atasan Pria,bambang,3,Bahan adem dan nyaman dipakai.,2025-05-13
Garuda Store - Jersey Training - Red Black,rani,5,Detail produk sesuai gambar.,2025-03-19
Garuda - Action Figure Timnas Indonesia - Full Body,lina,4,Worth it banget buat harga segini.,2025-03-11
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,melisa,3,Worth it banget buat harga segini.,2025-03-05
Garuda - Tumbler Kita Garuda,agus,4,"Keren, tampil percaya diri pakai ini.",2025-01-08
Garuda - Tumbler Kita Garuda,citra,3,"Packing rapi, aman sampai tujuan.",2025-01-26
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,sari,4,"Cocok dipakai harian, nyaman banget.",2025-02-11
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,maya,4,Keren banget buat nonton di stadion.,2025-03-28
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,rudi,3,Pelayanan toko cepat dan ramah.,2025-05-28
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,sinta,3,Jahitannya rapi dan bahan premium.,2025-01-29
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,alya,4,"Keren, tampil percaya diri pakai ini.",2025-02-10
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,adit,4,Keren banget buat nonton di stadion.,2025-02-04
Garuda - Tumbler Kita Garuda,andi,5,"Barang sesuai foto, puas banget.",2025-03-01
Garuda - Socks Pattern | Kaos Kaki,sari,3,"Beli untuk kado, penerima suka banget.",2025-04-05
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,arif,4,"Cocok dipakai harian, nyaman banget.",2025-01-07
Garuda - Action Figure Timnas Indonesia - Full Body,budi,5,Rekomendasi buat yang suka koleksi Garuda.,2025-05-29
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,arya,3,Worth it banget buat harga segini.,2025-04-05
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,alya,4,"Cocok dipakai harian, nyaman banget.",2025-05-14
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,riko,4,"Barang limited edition, gak nyesel beli.",2025-04-20
Garuda - Polo Stripe | Baju Atasan Pria,fahri,4,"Cocok dipakai harian, nyaman banget.",2025-03-29
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,rani,4,"Cocok dipakai harian, nyaman banget.",2025-05-04
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,sinta,3,"Kualitas oke, pengiriman cepat.",2025-05-26
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,agus,3,"Packing rapi, aman sampai tujuan.",2025-04-14
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,toni,4,"Kualitas oke, pengiriman cepat.",2025-04-29
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,fahri,3,"Packing rapi, aman sampai tujuan.",2025-05-22
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,arya,4,"Beli untuk kado, penerima suka banget.",2025-01-14
Garuda Store - Crewneck plus 62 Football,indra,3,Jahitannya rapi dan bahan premium.,2025-03-18
Garuda Store - Jersey Training - Red Black,rani,4,Keren banget buat nonton di stadion.,2025-03-24
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,nisa,4,"Desainnya keren, suka banget!",2025-03-12
Garuda Store - Crewneck plus 62 Football,agus,5,"Ukuran pas, bahannya lembut.",2025-03-11
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,citra,3,"Packing rapi, aman sampai tujuan.",2025-03-19
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,citra,3,"Kualitas oke, pengiriman cepat.",2025-04-19
Garuda - Tumbler Kita Garuda,rahma,4,"Barang original, mantap kualitasnya.",2025-04-13
